,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
69,68,148,steckdosen,steckdose,zügen,aufladen,natel,fehlen,geräte,stecker,modernen,klasse
70,69,146,trinken,verbieten,verboten,maske,trinkverbot,pandemie,ess,erlaubt,corona,verbot
71,70,144,unterwegs,velo,velos,kinderwagen,enkel,fahrrad,enkelin,fähre,personen,rhb
72,71,140,ride,easy,easyride,funktioniert,standort,funktion,app,starten,lösen,dreht
73,72,139,abfalleimer,abfallbehälter,abfall,abfallkübel,leeren,entsorgen,abfälle,installieren,geleert,sitzplätzen
74,73,138,bombardier,stadler,rail,schüttelbecher,fahrkomfort,dosto,züge,schüttelt,arbeiten,alten
75,74,136,bike,bikes,stromer,unterwegs,aufhängen,velo,velowagen,mountainbikes,velos,aufzuhängen
76,75,135,studenten,ga,studierende,schüler,teuer,preise,angebote,senioren,25,student
77,76,134,bestens,perfekt,io,super,ok,paletti,wunschlos,ol,jud,luxuswunsch
78,77,130,kinderwagen,kinder,kind,einstieg,velos,kinderwägen,kinderabteil,einsteigen,kinderkarte,mütter
79,78,126,bahn,richtung,zurich,perron,the,bahnwagen,ausgang,gleis,they,aktives
80,79,119,ruhewagen,ruheabteile,ruheabteil,ruhezone,ruhe,ruhezonen,einführen,klasse,abteil,sorgen
81,80,117,schifffahrt,schiffsreise,schiffahrt,gefahren,schiffe,schifffahrtsgesellschaft,handelte,fahrplan,unterwegs,schiffsverbindung
82,81,116,kontrolleure,kontrollen,kontrolle,kontrolleur,kontrollieren,kontrolliert,kontrolleuren,unfreundlich,unfreundliche,vermehrte
83,82,116,49,gleis,dunkel,et,entre,ils,tram,umsteigen,bahn,abfährt
84,83,116,rückfahrt,rückreise,hinfahrt,rückweg,gefragt,21,schlief,bewertung,23,ruppig
85,84,116,laptop,usb,arbeiten,steckdosen,tische,laptops,computer,stecker,stromanschluss,handy
